symbol,name
NSE:NV20-EQ,KOTAKMAMC - KTKNV20ETF
NSE:EXCELINDUS-EQ,EXCEL INDUSTRIES LTD
NSE:KRIDHANINF-EQ,KRIDHAN INFRA LIMITED
NSE:LT-EQ,LARSEN & TOUBRO LTD.
NSE:APARINDS-EQ,APAR INDUSTRIES LTD.
NSE:AMBICAAGAR-EQ,AMBICA AGAR & AROMAINDLTD
NSE:NIITLTD-EQ,NIIT LIMITED
NSE:GLAXO-EQ,GLAXOSMITHKLINE PHARMA LT
NSE:EMIL-EQ,ELECTRONICS MART IND LTD
NSE:ULTRACEMCO-EQ,ULTRATECH CEMENT LIMITED
NSE:TCS-EQ,TATA CONSULTANCY SERV LT
NSE:HDFCMOMENT-EQ,HDFCAMC - HDFCMOMENT
NSE:COFORGE-EQ,COFORGE LIMITED
NSE:HDFCLOWVOL-EQ,HDFCAMC - HDFCLOWVOL
NSE:TEXINFRA-EQ,TEXMACO INFRA & HOLDG LTD
NSE:DCI-EQ,DC INFOTECH AND COMUN LTD
NSE:PPLPHARMA-EQ,PIRAMAL PHARMA LIMITED
NSE:FORCEMOT-EQ,FORCE MOTORS LIMITED
NSE:WESTLIFE-EQ,WESTLIFE FOODWORLD LTD
NSE:GULFPETRO-EQ,GP PETROLEUMS LIMITED
NSE:TRACXN-EQ,TRACXN TECHNOLOGIES LTD
NSE:HDFCNIFTY-EQ,HDFCAMC - HDFCNIFTY
NSE:HDFCSENSEX-EQ,HDFCAMC - HDFCSENSEX
NSE:LINCOLN-EQ,LINCOLN PHARMA LTD
NSE:GUFICBIO-EQ,GUFIC BIOSCIENCES LTD.
NSE:ASTRAMICRO-EQ,ASTRA MICROWAVE LTD
NSE:GTL-EQ,GTL LTD
NSE:WELENT-EQ,WELSPUN ENTERPRISES LTD.
NSE:NTPC-EQ,NTPC LTD
NSE:NEWGEN-EQ,NEWGEN SOFTWARE TECH LTD
NSE:BOHRAIND-EQ,BOHRA INDUSTRIES LIMITED
NSE:KOTARISUG-EQ,KOTHARI SUG & CHEM LTD.
NSE:LALPATHLAB-EQ,DR. LAL PATH LABS LTD.
NSE:JBMA-EQ,JBM AUTO LIMITED
NSE:DWARKESH-EQ,DWARIKESH SUGAR IND LTD
NSE:INDOCO-EQ,INDOCO REMEDIES LTD.
NSE:GMBREW-EQ,G M BREWERIES LTD
NSE:SUPRAJIT-EQ,SUPRAJIT ENGINEERING LTD
NSE:PATELENG-EQ,PATEL ENGINEERING LTD.
NSE:ALKEM-EQ,ALKEM LABORATORIES LTD.
NSE:XCHANGING-EQ,XCHANGING SOLUTIONS LTD
NSE:JSWSTEEL-EQ,JSW STEEL LIMITED
NSE:CONSOFINVT-EQ,CONSO. FIN. & HOLD. LTD.
NSE:GNFC-EQ,GUJ NAR VAL FER & CHEM L
NSE:JINDALPHOT-EQ,JINDAL PHOTO LIMITED
NSE:JPPOWER-EQ,JAIPRAKASH POWER VEN. LTD
NSE:GOKEX-EQ,GOKALDAS EXPORTS LTD.
NSE:ACEINTEG-EQ,ACE INTEGRATED SOLU. LTD.
NSE:EVEREADY-EQ,EVEREADY INDS. IND.  LTD.
NSE:GOYALALUM-EQ,GOYAL ALUMINIUMS LIMITED
NSE:SAKSOFT-EQ,SAKSOFT LIMITED
NSE:HPIL-EQ,HINDPRAKASH INDUSTRY LTD
NSE:ALLDIGI-EQ,ALLDIGI TECH LIMITED
NSE:SUKHJITS-EQ,SUKHJIT STARCH & CHEM LTD
NSE:IIFL-EQ,IIFL FINANCE LIMITED
NSE:GODFRYPHLP-EQ,GODFREY PHILLIPS INDIA LT
NSE:SHOPERSTOP-EQ,SHOPPERS STOP LIMITED
NSE:MANGALAM-EQ,MANGALAM DRUG & CHEM LTD
NSE:WELCORP-EQ,WELSPUN CORP LIMITED
NSE:SSWL-EQ,STEEL STRIPS WHEELS LTD.
NSE:NH-EQ,NARAYANA HRUDAYALAYA LTD.
NSE:AMBER-EQ,AMBER ENTERPRISES (I) LTD
NSE:SURYALAXMI-EQ,SURYALAKSHMI COT MIL LTD
NSE:SHAHALLOYS-EQ,SHAH ALLOYS LIMITED
NSE:GLAND-EQ,GLAND PHARMA LIMITED
NSE:JKPAPER-EQ,JK PAPER LIMITED
NSE:PRIMESECU-EQ,PRIME SECURITIES LIMITED
NSE:63MOONS-EQ,63 MOONS TECHNOLOGIES LTD
NSE:GRANULES-EQ,GRANULES INDIA LIMITED
NSE:JSWHL-EQ,JSW HOLDINGS LIMITED
NSE:MANINDS-EQ,MAN INDUSTRIES (I) LTD.
NSE:DCXINDIA-EQ,DCX SYSTEMS LIMITED
NSE:GEOJITFSL-EQ,GEOJIT FINANCIAL SER L
NSE:FMGOETZE-EQ,FEDERAL-MOGUL GOETZE (IND
NSE:GENUSPOWER-EQ,GENUS POWER INFRASTRU LTD
NSE:SWELECTES-EQ,SWELECT ENERGY SYS LTD
NSE:YESBANK-EQ,YES BANK LIMITED
NSE:MSPL-EQ,MSP STEEL & POWER LTD.
NSE:FUSION-EQ,FUSION FINANCE LIMITED
NSE:SPLIL-EQ,SPL INDUSTRIES LIMITED
NSE:MEDANTA-EQ,GLOBAL HEALTH LIMITED
NSE:KANSAINER-EQ,KANSAI NEROLAC PAINTS LTD
NSE:SEMAC-EQ,SEMAC CONSTRUCTION LTD
NSE:BIKAJI-EQ,BIKAJI FOODS INTERN LTD
NSE:GOLDIAM-EQ,GOLDIAM INTERNATIONAL LTD
NSE:RML-EQ,RANE (MADRAS) LIMITED
NSE:SASKEN-EQ,SASKEN TECHNOLOGIES LTD
NSE:ICIL-EQ,INDO COUNT INDUSTRIES LTD
NSE:SYNCOMF-EQ,SYNCOM FORMU (I) LTD
NSE:FCSSOFT-EQ,FCS SOFTWARE SOLN. LTD.
NSE:ESG-EQ,MIRAEAMC - MAESGETF
NSE:FAZE3Q-EQ,FAZE THREE LIMITED
NSE:IMPAL-EQ,IND MOTOR PART & ACC LTD
NSE:AEROENTER-EQ,AEROFLEX ENTERPRISES LTD
NSE:SUZLON-EQ,SUZLON ENERGY LIMITED
NSE:AURIONPRO-EQ,AURIONPRO SOLN LTD
NSE:ACI-EQ,ARCHEAN CHEMICAL IND LTD
NSE:RENUKA-EQ,SHREE RENUKA SUGARS LTD
NSE:FIVESTAR-EQ,FIVE-STAR BUS FIN LTD
NSE:BASML-EQ,BANNARI AM SPIN MILL LTD.
NSE:SCPL-EQ,SHEETAL COOL PRODUCTS LTD
NSE:KAYNES-EQ,KAYNES TECHNOLOGY IND LTD
NSE:HDFCNIFIT-EQ,HDFCAMC - HDFCNIFIT
NSE:HDFCPVTBAN-EQ,HDFCAMC - HDFCPVTBAN
NSE:DOLATALGO-EQ,DOLAT ALGOTECH LIMITED
NSE:DELTAMAGNT-EQ,DELTA MANUFACTURING LTD
NSE:BBTCL-EQ,B&B TRIPLEWALL CONT LTD
NSE:HNDFDS-EQ,HINDUSTAN FOODS LIMITED
NSE:INOXGREEN-EQ,INOX GREEN ENERGY SER LTD
NSE:RUSTOMJEE-EQ,KEYSTONE REALTORS LIMITED
NSE:GRASIM-EQ,GRASIM INDUSTRIES LTD
NSE:GREAVESCOT-EQ,GREAVES COTTON LTD.
NSE:ZIMLAB-EQ,ZIM LABORATORIES LIMITED
NSE:GSFC-EQ,GUJ STATE FERT & CHEM LTD
NSE:SWSOLAR-EQ,STRLNG & WIL REN ENE LTD
NSE:VINNY-EQ,VINNY OVERSEAS LIMITED
NSE:CASTROLIND-EQ,CASTROL INDIA LIMITED
NSE:FINIETF-EQ,ICICIPRAMC-ICICIFIN
NSE:PRECAM-EQ,PRECISION CAMSHAFTS LTD.
NSE:GUJALKALI-EQ,GUJARAT ALKALIES & CHEM
NSE:MBAPL-EQ,MADHYA BHARAT AGRO P. LTD
NSE:AMBUJACEM-EQ,AMBUJA CEMENTS LTD
NSE:TEAMLEASE-EQ,TEAMLEASE SERVICES LTD.
NSE:DJML-EQ,DJ MEDIAPRINT & LOG LTD
NSE:ROUTE-EQ,ROUTE MOBILE LIMITED
NSE:KRISHANA-EQ,KRISHANA PHOSCHEM LIMITED
NSE:SARVESHWAR-EQ,SARVESHWAR FOODS LIMITED
NSE:NPBET-EQ,TATAAML - NPBET
NSE:ABB-EQ,ABB INDIA LIMITED
NSE:DHARMAJ-EQ,DHARMAJ CROP GUARD LTD
NSE:SAFARI-EQ,SAFARI IND (INDIA) LTD
NSE:UNIPARTS-EQ,UNIPARTS INDIA LIMITED
NSE:360ONE-EQ,360 ONE WAM LIMITED
NSE:IIFLCAPS-EQ,IIFL CAPITAL SERVICES LTD
NSE:TRIVENI-EQ,TRIVENI ENGG. & INDS. LTD
NSE:SILVER1-EQ,KOTAKMAMC - KOTAKSILVE
NSE:AIAENG-EQ,AIA ENGINEERING LIMITED
NSE:EKC-EQ,EVEREST KANTO CYLINDERLTD
NSE:VIMTALABS-EQ,VIMTA LABS LIMITED
NSE:NAHARINDUS-EQ,NAHAR INDS ENT LTD
NSE:ORIENTCER-EQ,ORIENT CERATECH LIMITED
NSE:QUICKHEAL-EQ,QUICK HEAL TECH LTD
NSE:KERNEX-EQ,KERNEX MICROSYS(I) LTD
NSE:REPRO-EQ,REPRO INDIA LIMITED
NSE:HARRMALAYA-EQ,HARRISON MALAYALAM LTD
NSE:EBBETF0433-EQ,EDELAMC - EBBETF0433
NSE:GSEC10IETF-EQ,ICICIPRAMC - ICICI10GS
NSE:PVRINOX-EQ,PVR INOX LIMITED
NSE:GALAXYSURF-EQ,GALAXY SURFACTANTS LTD
NSE:CELEBRITY-EQ,CELEBRITY FASHIONS LTD
NSE:NITINSPIN-EQ,NITIN SPINNERS LIMITED
NSE:ROHLTD-EQ,ROYAL ORCHID HOTELS LTD
NSE:ENIL-EQ,ENTERTAIN NET. IND. LTD.
NSE:GSPL-EQ,GUJARAT STATE PETRO LTD
NSE:COMMOIETF-EQ,ICICIPRAMC - ICICICOMMO
NSE:JAGRAN-EQ,JAGRAN PRAKASHAN LIMITED
NSE:SULA-EQ,SULA VINEYARDS LIMITED
NSE:SADBHAV-EQ,SADBHAV ENGINEERING LTD
NSE:SAKUMA-EQ,SAKUMA EXPORTS LIMITED
NSE:KEC-EQ,KEC INTL. LIMITED
NSE:HCL-INSYS-EQ,HCL INFOSYSTEMS LTD
NSE:JKCEMENT-EQ,JK CEMENT LIMITED
